Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,use case rapport,
2,Page,,,,,,,,,,Page 1,
3,Oval Container,UML,2,4,,,,,,,,
4,Rectangle Container,UML,2,,,,,,,,krelli System,
5,Oval Container,UML,2,4,,,,,,,,
6,Oval Container,UML,2,4,,,,,,,,
7,Oval Container,UML,2,4,,,,,,,,
8,Oval Container,UML,2,4,,,,,,,,
9,Oval Container,UML,2,4,,,,,,,,
10,Oval Container,UML,2,4,,,,,,,,
11,Oval Container,UML,2,4,,,,,,,,
12,Oval Container,UML,2,4,,,,,,,,
13,Oval Container,UML,2,4,,,,,,,,
14,Oval Container,UML,2,4,,,,,,,,
15,Oval Container,UML,2,4,,,,,,,,
16,Oval Container,UML,2,4,,,,,,,,
17,Oval Container,UML,2,4,,,,,,,,
18,Oval Container,UML,2,4,,,,,,,,
19,Oval Container,UML,2,4,,,,,,,,
20,Oval Container,UML,2,4,,,,,,,,
21,Actor,UML,2,,,,,,,,Authenticated User,
22,MinimalTextBlock,Standard,2,3|4,,,,,,,Browse Listings ,
23,MinimalTextBlock,Standard,2,4|5,,,,,,,See Reviews,
24,MinimalTextBlock,Standard,2,4|6,,,,,,,See Properties Details,
25,MinimalTextBlock,Standard,2,4|7,,,,,,,Add Reviews,
26,MinimalTextBlock,Standard,2,4|8,,,,,,,Manage Account Settings,
27,MinimalTextBlock,Standard,2,4|9,,,,,,,Manage Wishlist,
28,MinimalTextBlock,Standard,2,4|10,,,,,,,List Properties for Rent,
29,MinimalTextBlock,Standard,2,4|11,,,,,,,Manage Bookings,
30,Actor,UML,2,,,,,,,,Admin,
31,Actor,UML,2,,,,,,,,Guest,
32,MinimalTextBlock,Standard,2,4|12,,,,,,,Create Chat,
33,MinimalTextBlock,Standard,2,4|13,,,,,,,Manage Bookings,
34,MinimalTextBlock,Standard,2,4|14,,,,,,,View Host Profile,
35,MinimalTextBlock,Standard,2,4|15,,,,,,,Manage Users,
36,MinimalTextBlock,Standard,2,4|16,,,,,,,Manage Reviews,
37,MinimalTextBlock,Standard,2,4|17,,,,,,,Pay,
38,MinimalTextBlock,Standard,2,4|18,,,,,,,Manage Reports,
39,MinimalTextBlock,Standard,2,4|19,,,,,,,Add Repprt,
40,MinimalTextBlock,Standard,2,4|20,,,,,,,sign in ,
41,Line,,2,,,21,7,None,None,,,
42,Line,,2,,,21,9,None,None,,,
43,Line,,2,,,21,8,None,None,,,
44,Line,,2,,,21,10,None,None,,,
45,Line,,2,,,21,11,None,None,,,
46,Line,,2,,,31,3,None,None,,,
47,Line,,2,,,31,5,None,None,,,
48,Line,,2,,,31,6,None,None,,,
49,Line,,2,,,21,31,None,Arrow,,,
50,Line,,2,,,30,21,None,Arrow,,,
51,Line,,2,,,21,12,None,None,,,
52,Line,,2,,,21,13,None,None,,,
53,Line,,2,,,31,14,None,None,,,
54,Line,,2,,,30,15,None,None,,,
55,Line,,2,,,30,16,None,None,,,
56,Line,,2,,,17,21,None,Arrow,,,
57,Line,,2,,,21,19,None,None,,,
58,Line,,2,,,30,18,None,None,,,
59,Line,,2,,,7,20,None,Arrow,,,
60,Line,,2,,,9,20,None,Arrow,,,
61,Line,,2,,,8,20,None,Arrow,,,
62,Line,,2,,,10,20,None,Arrow,,,